pattern_id,pattern_name,pattern_type,manifestation_name,description
C1,Graph Structure,concept,Knowledge graphs,
C1,Graph Structure,concept,File trees,
C1,Graph Structure,concept,Feature history,CAD
C1,Graph Structure,concept,Axiom dependencies,proof assistants
C1,Graph Structure,concept,Part hierarchies,engineering
C1,Graph Structure,concept,Social networks,
C1,Graph Structure,concept,Dependency graphs,
P1,Direct Manipulation Canvas,pattern,Graph editor,knowledge graphs
P1,Direct Manipulation Canvas,pattern,3D viewport,CAD
P1,Direct Manipulation Canvas,pattern,Drawing canvas,vector graphics
P1,Direct Manipulation Canvas,pattern,Visual editor,page builders
P1,Direct Manipulation Canvas,pattern,Diagram editors,
F1.1,,flow,User input forms,
F1.1,,flow,File upload handlers,
F1.1,,flow,API request handlers,
F1.1,,flow,Sensor data ingestion,
F1.1,,flow,Clipboard paste operations,
F1.2,,flow,File importers,"CSV, JSON, XML"
F1.2,,flow,Database migration tools,
F1.2,,flow,API integrations,
F1.2,,flow,Bulk data imports,
F1.2,,flow,Document converters,
F1.3,,flow,Real-time data feeds,
F1.3,,flow,WebSocket connections,
F1.3,,flow,Event streaming,"Kafka, RabbitMQ"
F1.3,,flow,Live metrics collection,
F1.3,,flow,Chat/messaging systems,
C2,Document/Artifact,concept,Document/Artifact in modern applications,implements document/artifact pattern
C2,Document/Artifact,concept,Web-based document/artifact,browser implementation of document/artifact
C2,Document/Artifact,concept,Mobile document/artifact,mobile app implementation
P2,Command Interface,pattern,Search bar,"Google, Spotlight"
P2,Command Interface,pattern,Command line,"Terminal, bash"
P2,Command Interface,pattern,Command palette,VS Code Ctrl+Shift+P
P2,Command Interface,pattern,Query input,SQL clients
F2.1,,flow,Compiler pipelines,source → AST → IR → binary
F2.1,,flow,Data transformation,ETL pipelines
F2.1,,flow,Build systems,source → compile → link → package
F2.1,,flow,Markdown renderers,MD → AST → HTML
F2.1,,flow,Image processing,raw → decode → transform → encode
F2.2,,flow,Multi-agent AI systems,
F2.2,,flow,Task distribution in distributed systems,
F2.2,,flow,Worker pool management,
F2.2,,flow,Microservice orchestration,
F2.2,,flow,Parallel computation frameworks,
F2.3,,flow,Spreadsheet recalculation,
F2.3,,flow,Build systems,"Make, Bazel"
F2.3,,flow,Reactive frameworks,"React, Vue"
F2.3,,flow,Query optimization,
F2.3,,flow,Dataflow programming,
F2.4,,flow,Data augmentation,ML training
F2.4,,flow,Content enrichment,"metadata, tags"
F2.4,,flow,Profile enrichment,user data + social + behavior
F2.4,,flow,Product enrichment,details + reviews + pricing
F2.4,,flow,Log enrichment,traces + metrics + context
C3,Symbolic Expression,concept,Mathematical formulas,"LaTeX, MathML"
C3,Symbolic Expression,concept,Code AST,"Python, JavaScript"
C3,Symbolic Expression,concept,Constraints,SMT-LIB
C3,Symbolic Expression,concept,Queries,"SQL, GraphQL"
C3,Symbolic Expression,concept,Tags/taxonomies,
P3,Hierarchical Navigator,pattern,File explorer,OS file browser
P3,Hierarchical Navigator,pattern,Feature tree,CAD
P3,Hierarchical Navigator,pattern,Theorem library,Lean
P3,Hierarchical Navigator,pattern,Layer panel,Photoshop
P3,Hierarchical Navigator,pattern,Outline view,Word
F3.1,,flow,Reinforcement learning systems,
F3.1,,flow,Recommender systems,
F3.1,,flow,Adaptive user interfaces,
F3.1,,flow,Auto-tuning systems,
F3.1,,flow,Online learning algorithms,
F3.2,,flow,Form validation with corrections,
F3.2,,flow,Code linters with auto-fix,
F3.2,,flow,Data quality checks,
F3.2,,flow,Schema validation,
F3.2,,flow,Constraint satisfaction solvers,
F3.3,,flow,Auto-scaling systems,
F3.3,,flow,Self-healing infrastructure,
F3.3,,flow,Adaptive bitrate streaming,
F3.3,,flow,Dynamic resource allocation,
F3.3,,flow,Traffic load balancing,
F3.4,,flow,Recommendation engines,
F3.4,,flow,Adaptive interfaces,
F3.4,,flow,Content personalization,
F3.4,,flow,Search result ranking,
F3.4,,flow,Notification preferences,
C4,Metadata Schema,concept,Tags,"blog posts, notes"
C4,Metadata Schema,concept,Properties,CAD features
C4,Metadata Schema,concept,Attributes,HTML elements
C4,Metadata Schema,concept,Annotations,"PDF, code comments"
C4,Metadata Schema,concept,Labels,issue tracking
P4,Property Inspector,pattern,Properties panel,design tools
P4,Property Inspector,pattern,Inspector,browser DevTools
P4,Property Inspector,pattern,Settings panel,applications
P4,Property Inspector,pattern,Attributes editor,HTML editors
F4.1,,flow,React/Vue/Svelte rendering,
F4.1,,flow,Virtual DOM frameworks,
F4.1,,flow,Incremental rendering,
F4.1,,flow,Reactive UI libraries,
F4.1,,flow,Real-time dashboards,
F4.2,,flow,Alert systems,
F4.2,,flow,Email notifications,
F4.2,,flow,Push notifications,
F4.2,,flow,In-app messages,
F4.2,,flow,Webhook deliveries,
F4.3,,flow,Document export,"PDF, Word"
F4.3,,flow,API publishing,
F4.3,,flow,Data export,"CSV, JSON"
F4.3,,flow,Report generation,
F4.3,,flow,Static site generation,
F4.4,,flow,Database materialized views,
F4.4,,flow,Cached aggregations,
F4.4,,flow,Precomputed reports,
F4.4,,flow,Search indices,
F4.4,,flow,Dashboard metrics,
C5,Version History,concept,Edit history,Google Docs
C5,Version History,concept,Git commits,
C5,Version History,concept,Feature sequence,CAD timeline
C5,Version History,concept,Proof versions,Lean
C5,Version History,concept,Database transaction log,
F5,Collaborative Editing Flow,flow,Google Docs,
F5,Collaborative Editing Flow,flow,Figma multiplayer,
F5,Collaborative Editing Flow,flow,VS Code Live Share,
F5,Collaborative Editing Flow,flow,Notion collaboration,
P5,Tabbed Workspace,pattern,Editor tabs,VS Code
P5,Tabbed Workspace,pattern,Document tabs,browsers
P5,Tabbed Workspace,pattern,Multi-file editing,IDEs
P5,Tabbed Workspace,pattern,Chat tabs,messaging apps
F6,Error Recovery Flow,flow,Network request retry,HTTP clients with backoff
F6,Error Recovery Flow,flow,File load fallback,multiple locations/mirrors
F6,Error Recovery Flow,flow,Service degradation,cache → static → error
F6,Error Recovery Flow,flow,Database connection pooling,retry on transient failures
F6,Error Recovery Flow,flow,User retry prompts,try again button
P6,Palette/Toolbar,pattern,Palette/Toolbar in modern applications,implements palette/toolbar pattern
P6,Palette/Toolbar,pattern,Web-based palette/toolbar,browser implementation of palette/toolbar
P6,Palette/Toolbar,pattern,Mobile palette/toolbar,mobile app implementation
P7,Breadcrumb Trail,pattern,File path,"OS, web"
P7,Breadcrumb Trail,pattern,Navigation chain,multi-step processes
P7,Breadcrumb Trail,pattern,Context path,hierarchical views
P8,Search-Based Navigation,pattern,File search,"Spotlight, Everything"
P8,Search-Based Navigation,pattern,Theorem search,Lean libraries
P8,Search-Based Navigation,pattern,Command palette,editors
P8,Search-Based Navigation,pattern,Symbol search,code navigation
P9,Backlinks/References,pattern,Backlinks/References in modern applications,implements backlinks/references pattern
P9,Backlinks/References,pattern,Web-based backlinks/references,browser implementation of backlinks/references
P9,Backlinks/References,pattern,Mobile backlinks/references,mobile app implementation
P10,Parser/Compiler Pipeline,pattern,Parser/Compiler Pipeline in modern applications,implements parser/compiler pipeline pattern
P10,Parser/Compiler Pipeline,pattern,Web-based parser/compiler pipeline,browser implementation of parser/compiler pipeline
P10,Parser/Compiler Pipeline,pattern,Mobile parser/compiler pipeline,mobile app implementation
P11,Validator/Checker,pattern,Validator/Checker in modern applications,implements validator/checker pattern
P11,Validator/Checker,pattern,Web-based validator/checker,browser implementation of validator/checker
P11,Validator/Checker,pattern,Mobile validator/checker,mobile app implementation
P12,Solver/Optimizer,pattern,Solver/Optimizer in modern applications,implements solver/optimizer pattern
P12,Solver/Optimizer,pattern,Web-based solver/optimizer,browser implementation of solver/optimizer
P12,Solver/Optimizer,pattern,Mobile solver/optimizer,mobile app implementation
P13,Indexer/Query Engine,pattern,Indexer/Query Engine in modern applications,implements indexer/query engine pattern
P13,Indexer/Query Engine,pattern,Web-based indexer/query engine,browser implementation of indexer/query engine
P13,Indexer/Query Engine,pattern,Mobile indexer/query engine,mobile app implementation
P14,Agent Swarm,pattern,Multi-agent reasoning,AI
P14,Agent Swarm,pattern,Parallel analysis,
P14,Agent Swarm,pattern,Distributed builds,
P14,Agent Swarm,pattern,Map-reduce,
P15,Reasoning Chain,pattern,AI reasoning,chain-of-thought
P15,Reasoning Chain,pattern,Proof derivation,
P15,Reasoning Chain,pattern,Build pipelines,
P15,Reasoning Chain,pattern,Computation traces,
P16,Suggestion/Recommendation System,pattern,Suggestion/Recommendation System in modern applications,implements suggestion/recommendation system pattern
P16,Suggestion/Recommendation System,pattern,Web-based suggestion/recommendation system,browser implementation of suggestion/recommendation system
P16,Suggestion/Recommendation System,pattern,Mobile suggestion/recommendation system,mobile app implementation
P17,Key-Value Store,pattern,Cache,
P17,Key-Value Store,pattern,Settings storage,
P17,Key-Value Store,pattern,Session state,
P17,Key-Value Store,pattern,Metadata store,
P18,Relational Database,pattern,Content database,
P18,Relational Database,pattern,File metadata,
P18,Relational Database,pattern,User data,
P18,Relational Database,pattern,Application state,
P19,Graph Database,pattern,Knowledge graphs,
P19,Graph Database,pattern,Dependency graphs,
P19,Graph Database,pattern,Citation networks,
P19,Graph Database,pattern,Social networks,
P20,Document Store,pattern,Note storage,"Notion, Roam"
P20,Document Store,pattern,Configuration,JSON files
P20,Document Store,pattern,Log aggregation,
P20,Document Store,pattern,CMS content,
P21,Time-Series Store,pattern,Edit history,
P21,Time-Series Store,pattern,Telemetry,
P21,Time-Series Store,pattern,Sensor data,
P21,Time-Series Store,pattern,User activity log,
P21,Time-Series Store,pattern,Stock prices,
P22,Event Bus,pattern,UI event system,
P22,Event Bus,pattern,Component communication,
P22,Event Bus,pattern,Plugin events,
P22,Event Bus,pattern,Message queues,
P23,Real-Time Sync,pattern,Collaborative editing,
P23,Real-Time Sync,pattern,Live preview,
P23,Real-Time Sync,pattern,Cloud sync,Dropbox
P23,Real-Time Sync,pattern,Multi-device sync,
P24,Request-Response API,pattern,REST API,
P24,Request-Response API,pattern,RPC,gRPC
P24,Request-Response API,pattern,GraphQL,
P24,Request-Response API,pattern,Internal service APIs,
P25,Streaming Protocol,pattern,WebSocket,
P25,Streaming Protocol,pattern,Live updates,
P25,Streaming Protocol,pattern,Progressive rendering,
P25,Streaming Protocol,pattern,File uploads/downloads,
P25,Streaming Protocol,pattern,Video streaming,
P26,Status Bar/Indicator,pattern,Status Bar/Indicator in modern applications,implements status bar/indicator pattern
P26,Status Bar/Indicator,pattern,Web-based status bar/indicator,browser implementation of status bar/indicator
P26,Status Bar/Indicator,pattern,Mobile status bar/indicator,mobile app implementation
P27,Toast/Notification,pattern,Toast/Notification in modern applications,implements toast/notification pattern
P27,Toast/Notification,pattern,Web-based toast/notification,browser implementation of toast/notification
P27,Toast/Notification,pattern,Mobile toast/notification,mobile app implementation
P28,Progress Indicator,pattern,File upload/download,
P28,Progress Indicator,pattern,Build progress,
P28,Progress Indicator,pattern,Test execution,
P28,Progress Indicator,pattern,Verification progress,
P28,Progress Indicator,pattern,Installation progress,
P29,Centralized State Store,pattern,Redux,JavaScript
P29,Centralized State Store,pattern,Vuex,Vue.js
P29,Centralized State Store,pattern,Global state,any framework
P29,Centralized State Store,pattern,Application model,
P30,Command Pattern,pattern,Undo/redo system,
P30,Command Pattern,pattern,Macro recording,
P30,Command Pattern,pattern,Transaction log,
P30,Command Pattern,pattern,Command history,
P31,Observer Pattern,pattern,Data binding,
P31,Observer Pattern,pattern,Event listeners,
P31,Observer Pattern,pattern,Reactive subscriptions,
P31,Observer Pattern,pattern,Pub/sub systems,
P32,Plugin Architecture,pattern,VS Code extensions,
P32,Plugin Architecture,pattern,WordPress plugins,
P32,Plugin Architecture,pattern,Browser extensions,
P32,Plugin Architecture,pattern,Plugin systems,
P33,Hook System,pattern,Lifecycle hooks,"React, Vue"
P33,Hook System,pattern,Event handlers,
P33,Hook System,pattern,Middleware,
P33,Hook System,pattern,Aspect-oriented programming,
P34,Strategy Pattern,pattern,File format handlers,
P34,Strategy Pattern,pattern,Solver algorithms,
P34,Strategy Pattern,pattern,Rendering engines,
P34,Strategy Pattern,pattern,Compression algorithms,
P35,Split-Pane Layout,pattern,3-column CMS editor,
P35,Split-Pane Layout,pattern,VS Code panels,
P35,Split-Pane Layout,pattern,Split terminal windows,
P35,Split-Pane Layout,pattern,IDE layouts,
P37,Empty State Pattern,pattern,"""No annotations yet""",
P37,Empty State Pattern,pattern,Empty inbox,
P37,Empty State Pattern,pattern,Empty canvas,
P37,Empty State Pattern,pattern,No search results,
P38,Badge/Indicator Pattern,pattern,Badge/Indicator Pattern in modern applications,implements badge/indicator pattern pattern
P38,Badge/Indicator Pattern,pattern,Web-based badge/indicator pattern,browser implementation of badge/indicator pattern
P38,Badge/Indicator Pattern,pattern,Mobile badge/indicator pattern,mobile app implementation
P39,Contextual Action Menu,pattern,Three-dot menu,
P39,Contextual Action Menu,pattern,Right-click context menu,
P39,Contextual Action Menu,pattern,Kebab menu,⋮
P39,Contextual Action Menu,pattern,More actions dropdown,
P40,Mode Toggle System,pattern,Auto-scroll toggle,
P40,Mode Toggle System,pattern,Edit vs Preview,
P40,Mode Toggle System,pattern,Tool modes,
P40,Mode Toggle System,pattern,View modes,
P41,Inline Status Chip,pattern,"""AI: Partial"" warning chip",
P41,Inline Status Chip,pattern,"""✓ Saved"" success chip",
P41,Inline Status Chip,pattern,"""⏱ Syncing..."" info chip",
P41,Inline Status Chip,pattern,"""❌ 2 errors"" error chip",
P42,Tooltip/Hint System,pattern,Tooltip/Hint System in modern applications,implements tooltip/hint system pattern
P42,Tooltip/Hint System,pattern,Web-based tooltip/hint system,browser implementation of tooltip/hint system
P42,Tooltip/Hint System,pattern,Mobile tooltip/hint system,mobile app implementation
P43,Application Navigation Drawer,pattern,Gmail sidebar,
P43,Application Navigation Drawer,pattern,VS Code activity bar,
P43,Application Navigation Drawer,pattern,Mobile hamburger menus,
P43,Application Navigation Drawer,pattern,CMS tool selector,
P44,Keyboard Shortcut System,pattern,Ctrl+S,save
P44,Keyboard Shortcut System,pattern,Ctrl+Z/Y,undo/redo
P44,Keyboard Shortcut System,pattern,Ctrl+F,search
P44,Keyboard Shortcut System,pattern,Esc,close dialog
P45,Drag and Drop Interaction,pattern,Reorder tabs,
P45,Drag and Drop Interaction,pattern,Move files,
P45,Drag and Drop Interaction,pattern,Drag blocks to reorder,
P45,Drag and Drop Interaction,pattern,Kanban cards,
P46,Focus Management System,pattern,Modal dialog focus trap,
P46,Focus Management System,pattern,Keyboard navigation,
P46,Focus Management System,pattern,Skip links,
P46,Focus Management System,pattern,Accessible widgets,
P47,Inline Editing Pattern,pattern,Click paragraph to edit,
P47,Inline Editing Pattern,pattern,Spreadsheet cell editing,
P47,Inline Editing Pattern,pattern,Filename rename,
P47,Inline Editing Pattern,pattern,Tag editing,
P48,Form Validation Pattern,pattern,Registration forms,
P48,Form Validation Pattern,pattern,Login forms,
P48,Form Validation Pattern,pattern,Settings panels,
P48,Form Validation Pattern,pattern,Data entry forms,
P48,Form Validation Pattern,pattern,Survey forms,
P49,Multi-Step Form (Wizard) Pattern,pattern,Checkout flow,e-commerce
P49,Multi-Step Form (Wizard) Pattern,pattern,Onboarding wizard,
P49,Multi-Step Form (Wizard) Pattern,pattern,Setup assistant,
P49,Multi-Step Form (Wizard) Pattern,pattern,Multi-page survey,
P49,Multi-Step Form (Wizard) Pattern,pattern,Installation wizard,
P50,Form Dependency Pattern,pattern,Address forms,country→state→city
P50,Form Dependency Pattern,pattern,Product configurators,
P50,Form Dependency Pattern,pattern,Tax calculators,
P50,Form Dependency Pattern,pattern,Dynamic pricing forms,
P50,Form Dependency Pattern,pattern,Conditional survey questions,
P51,Responsive Layout Pattern (NEW),pattern,Responsive web apps,
P51,Responsive Layout Pattern (NEW),pattern,Mobile-first design,
P51,Responsive Layout Pattern (NEW),pattern,Adaptive interfaces,
P51,Responsive Layout Pattern (NEW),pattern,Cross-device layouts,
P52,Pagination Pattern,pattern,Search results,
P52,Pagination Pattern,pattern,Product listings,
P52,Pagination Pattern,pattern,Data tables,
P52,Pagination Pattern,pattern,Blog archives,
P52,Pagination Pattern,pattern,API responses,
P53,Filtering Pattern,pattern,E-commerce product filters,
P53,Filtering Pattern,pattern,Search result filters,
P53,Filtering Pattern,pattern,Data table column filters,
P53,Filtering Pattern,pattern,Email filters,
P53,Filtering Pattern,pattern,Log viewers,
P54,Sorting Pattern,pattern,Data tables,
P54,Sorting Pattern,pattern,File explorers,
P54,Sorting Pattern,pattern,Email clients,
P54,Sorting Pattern,pattern,Spreadsheets,
P54,Sorting Pattern,pattern,Admin panels,
P55,Virtualization Pattern,pattern,Large lists,1000+ items
P55,Virtualization Pattern,pattern,Data grids,
P55,Virtualization Pattern,pattern,Feed viewers,social media
P55,Virtualization Pattern,pattern,Log viewers,
P55,Virtualization Pattern,pattern,File explorers,
P56,Cache Strategy Pattern,pattern,Browser cache,
P56,Cache Strategy Pattern,pattern,CDN caching,
P56,Cache Strategy Pattern,pattern,Database query cache,
P56,Cache Strategy Pattern,pattern,Computed value cache,
P56,Cache Strategy Pattern,pattern,Image thumbnails,
P57,Data Migration Pattern,pattern,Database schema migrations,
P57,Data Migration Pattern,pattern,API version upgrades,
P57,Data Migration Pattern,pattern,File format conversions,
P57,Data Migration Pattern,pattern,Configuration updates,
P58,Authentication Pattern,pattern,User login systems,
P58,Authentication Pattern,pattern,API authentication,
P58,Authentication Pattern,pattern,SSO,Single Sign-On
P58,Authentication Pattern,pattern,Multi-factor authentication,
P59,Authorization Pattern,pattern,File permission systems,
P59,Authorization Pattern,pattern,API authorization,
P59,Authorization Pattern,pattern,Database row-level security,
P59,Authorization Pattern,pattern,Cloud resource access,AWS IAM
P60,Input Sanitization Pattern,pattern,Form input validation,
P60,Input Sanitization Pattern,pattern,API input sanitization,
P60,Input Sanitization Pattern,pattern,Template rendering,auto-escaping
P60,Input Sanitization Pattern,pattern,Database query builders,
P61,Unit Test Pattern,pattern,Unit tests,"pytest, Jest, JUnit"
P61,Unit Test Pattern,pattern,TDD,Test-Driven Development
P61,Unit Test Pattern,pattern,Component tests,
P61,Unit Test Pattern,pattern,Function tests,
P62,Integration Test Pattern,pattern,API integration tests,
P62,Integration Test Pattern,pattern,Database integration tests,
P62,Integration Test Pattern,pattern,Service-to-service tests,
P62,Integration Test Pattern,pattern,End-to-end user flows,
P63,End-to-End Test Pattern,pattern,UI automation,"Selenium, Playwright, Cypress"
P63,End-to-End Test Pattern,pattern,Acceptance tests,
P63,End-to-End Test Pattern,pattern,Smoke tests,
P63,End-to-End Test Pattern,pattern,Regression tests,
P64,Generative UI,pattern,Vercel AI SDK streamUI,dynamic component generation from LLM
P64,Generative UI,pattern,ChatGPT UI morphing,interface adapts to conversation context
P64,Generative UI,pattern,Claude Artifacts,generated interactive UI components
P64,Generative UI,pattern,v0.dev generated interfaces,AI-designed complete UIs from natural language
P65,Streaming Component,pattern,ChatGPT streaming responses,token-by-token text rendering
P65,Streaming Component,pattern,Vercel AI SDK useChat,React hook for streaming LLM output
P65,Streaming Component,pattern,LangChain StreamingStdOutCallbackHandler,streaming callback for progressive output
P65,Streaming Component,pattern,Claude streaming API,SSE-based token streaming
P66,Context-Adaptive Interface,pattern,Notion adaptive workspace,UI adapts to document type and user role
P66,Context-Adaptive Interface,pattern,Figma context-aware panels,tools change based on selected object
P66,Context-Adaptive Interface,pattern,VS Code adaptive UI,panels adjust to programming language and task
P66,Context-Adaptive Interface,pattern,Gmail smart compose,suggestions adapt to email context and recipient
P67,Progressive Disclosure by AI,pattern,Apple Vision Pro spatial UI,progressively reveals interface elements as needed
P67,Progressive Disclosure by AI,pattern,GitHub Copilot suggestions,reveals code suggestions progressively based on context
P67,Progressive Disclosure by AI,pattern,Notion database views,AI-driven progressive revelation of database properties
P67,Progressive Disclosure by AI,pattern,ChatGPT function calling,progressively reveals tool outputs
P68,Agent Team Visualization,pattern,CrewAI agent dashboard,visualizes agent team with roles and status
P68,Agent Team Visualization,pattern,AutoGPT agent tree,hierarchical view of agent spawning and coordination
P68,Agent Team Visualization,pattern,LangGraph agent graph,node-edge visualization of agent workflow
P68,Agent Team Visualization,pattern,Mastra agent monitor,real-time agent team status display
P69,Agent Activity Timeline,pattern,LangSmith trace timeline,chronological view of agent execution
P69,Agent Activity Timeline,pattern,CrewAI execution log,agent activity timeline with actions
P69,Agent Activity Timeline,pattern,AutoGPT activity tracker,real-time agent action timeline
P69,Agent Activity Timeline,pattern,Datadog APM for AI agents,distributed agent tracing timeline
P70,Agent Handoff,pattern,CrewAI task delegation,tasks passed between specialized agents
P70,Agent Handoff,pattern,LangGraph conditional edges,routing between agent nodes with state transfer
P70,Agent Handoff,pattern,AutoGPT sub-agent spawning,parent agent hands off subtasks to children
P70,Agent Handoff,pattern,Customer service agent escalation,tier-1 bot hands off to tier-2 specialist
P71,Orchestration Dashboard,pattern,LangGraph Studio,visual workflow orchestration dashboard
P71,Orchestration Dashboard,pattern,Temporal workflow UI,orchestration dashboard with controls
P71,Orchestration Dashboard,pattern,Airflow DAG view,task orchestration visualization
P71,Orchestration Dashboard,pattern,Prefect dashboard,workflow orchestration monitoring
P72,Agent Role Selector,pattern,CrewAI role assignment,assigns specialized roles to agents for tasks
P72,Agent Role Selector,pattern,MetaGPT role system,"product manager, architect, engineer roles"
P72,Agent Role Selector,pattern,AutoGen agent selection,selects appropriate agent based on task type
P72,Agent Role Selector,pattern,LangGraph conditional routing,routes to specialized agent nodes
P73,Composite Action,pattern,LangChain sequential chains,composing multiple LLM calls
